% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=900089, Sat Nov 22 19:15:27 2025, <python>{}</python>
1 20 0.4843565001214493 0 0 0.4865379239008544 0.4779627014260194 0.4867447625443789 0.49726694928922216 0.48054174372688313 0.5156500190854373 0.4729960422362989 0.41862301256213824 0.492792561694171
2 40 0.5092444051096098 0 0 0.5140675965887056 0.5267836330120432 0.5105027221526561 0.5135274949914655 0.4899190131662677 0.5647121086213199 0.49911105089154006 0.45910699173610586 0.5082386113484422
3 60 0.522395316850545 0 0 0.52505202955956 0.5295029062364817 0.5496893185732874 0.5222203353312155 0.5219721325068835 0.5450760767077844 0.4802132504130661 0.4744808357307906 0.5252822955731499
4 80 0.6265548385766537 0 0 0.6323129032319521 0.6387631072311252 0.6207961096318165 0.641904083342353 0.6479235341720337 0.6868437476764196 0.5693751746525223 0.5846253255578122 0.6395939565684335
5 100 0.6592641477318899 0 0 0.6620106669726169 0.7016972225959388 0.6460814936061612 0.6769441693951109 0.647454485634557 0.6850931834043846 0.6205223294413946 0.6254202587972788 0.6358244917571697
6 120 0.6299566599981157 0 0 0.6471050647054009 0.6584129404384665 0.5950900740007158 0.626516149342029 0.5770011023111352 0.6384981426583007 0.6175069561152429 0.621539403177093 0.6143104110983126
